Day,Month,Year,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_40,F_41,F_42,F_43,F_44,F_45,F_46,F_47,F_48,F_49,F_50,F_51,F_52,F_53,F_54,F_55,F_56,F_57,F_58,F_59,F_60,F_61,F_62,F_63,F_64,F_65,F_66,F_67,F_68,F_69,F_70,F_71,F_72,F_73,F_74,F_75,F_76,F_77,F_78,F_79,F_80,F_81,F_82,F_83,F_84,F_85,F_86,F_87,F_88,F_89,F_90,F_91,F_92,F_93,F_94,F_95,F_96,F_97,F_98,F_99,F_100
0,-,-,2877,6438,827,295,1380,523,5639,874,5919,361,988,347,454,956,253,931,3153,1310,162,270,866,97,977,7663,6143,6730,4953,47,2670,1283,698,3512,7857,755,897,1494,7468,4758,1422,8299,244,4335,595,2735,489,139,1421,7979,2290,8331,335,493,5882,150,1202,894,692,7336,8411,1226,8192,1315,490,7555,5957,772,2439,4521,4466,317,7738,3814,7582,2156,8810,8641,316,348,52,4143,7562,41,4966,3524,2361,942,1041,463,795,6931,137,4249,359,3338,1718,7311,8001,454,2241,26
1,Jan,2010,2823.67,6392.02,833.4,296.94,1387.91,523.71,5663.64,889.53,5850.54,361.95,997.53,349.71,456,962.86,256.42,929.5,3167.53,1302.18,162.34,272.15,868.97,96.43,969.94,7735.03,6143.7,6775.94,4977.84,46.79,2659.52,1269.57,687.78,3557.09,7908.35,746.54,882.84,1495.08,7545.07,4711.85,1408.09,8325.02,247.29,4336.3,600.38,2750.02,488.93,139.79,1457.27,7878.5,2221.33,8359.47,332.91,487.57,5868.35,149.88,1202.04,883.83,698.82,7317.42,8388.72,1230.09,8187.55,1301.02,495.85,7536.37,5954.82,765.72,2431.07,4508.99,4512.53,313.83,7802.59,3816.81,7505.47,2165.35,8834.37,8688.21,319.69,345.97,51.56,4127.37,7580.17,41.42,5041.19,3562.39,2367.56,931.3,1044.63,465.87,797.23,7096.99,137.58,4268.27,363.26,3280.29,1718.09,7354.11,7847.11,455.42,2260.65,26.02
2,Jan,2010,2830.98,6409.05,833.24,297.42,1395.59,521.06,5688.91,894.92,5832.31,357.59,997.32,350.99,457.29,974.67,257.18,927.29,3200.52,1290.16,162.59,274.36,865.23,96.94,969.54,7742.93,6168.35,6748.99,5019.34,46.74,2634.39,1268.12,681.64,3594.79,8029.63,754.76,880.89,1485.81,7516.32,4681.89,1403.9,8375.97,251.05,4370.05,597.99,2730.9,490.48,138.84,1478,7858,2225.12,8274.07,326.49,483.58,5886.51,148.13,1213.82,875.75,709.54,7267.25,8428.8,1230.91,8047.96,1319.75,498.27,7555,5940.4,768.43,2440.8,4510.46,4456.44,316.28,7813.38,3742.82,7428.45,2143.9,8773.69,8778.46,324.4,339.16,51.5,4126.77,7511.12,41.23,5124.62,3557.79,2380.88,932.83,1054.16,464.22,809.07,7191.52,137.41,4299.06,365.44,3254.45,1717.44,7408.39,7880.57,447.44,2232.09,25.83
3,Jan,2010,2813.99,6337.16,830.36,296.31,1370.9,518.64,5721.99,905.4,5906.71,356.6,1003.23,348.74,462.4,980.24,258.06,920.59,3193.77,1278.56,161.46,274.38,855.04,97.93,973.16,7765.98,6208.52,6739.76,5050.42,46.16,2613.31,1265.62,684.03,3578.96,8077.8,754.22,881.06,1484.42,7470.01,4603.75,1416.73,8410.36,250.41,4358.64,608.26,2739.25,487.5,138.78,1452.47,7806.33,2220.17,8360.11,326.03,487.43,5911.01,147.9,1217.73,885.22,712.21,7244.44,8524.42,1229.35,7949.19,1320.45,502.66,7606.87,6027.3,768.09,2456.55,4568.04,4472.65,313.6,7824,3708.83,7354.54,2170.15,8801.79,8869.84,328.12,334.57,51.61,4063.55,7601.93,41.03,5137.38,3526.79,2390.75,917.33,1044.72,466.99,805.4,7082.53,137.75,4340.86,370.62,3243.19,1704.32,7365.19,7893.62,441.82,2214.09,25.86
4,Jan,2010,2830.17,6349.44,819.67,293.53,1355.5,509.33,5774.83,907.08,5950.02,352.82,1022.41,349.11,462.22,992.32,258.9,919.62,3202.66,1282.17,161.23,275.62,851.36,96.53,967.78,7673.58,6224.09,6777.45,5075.65,45.6,2592.83,1261.74,686.01,3606.16,8055.46,747.8,884.57,1483.87,7440.37,4647.89,1409.7,8415.35,250.34,4337.88,612.76,2710.11,489.4,137.21,1488.8,7858.81,2200.8,8398.1,324.49,484.15,5962.52,147.39,1227.11,881.86,724.7,7254.95,8614.27,1232.47,8000.62,1326.64,508.41,7611.08,6061.8,775.48,2431.59,4598.71,4490.21,308.7,7967.33,3722.25,7300.35,2158.95,8905.18,8860.37,329.59,333.18,51.14,4046,7518.03,41.29,5206.1,3527.76,2406.68,912.41,1028.92,470.08,809.42,7099.94,139.79,4340.96,372.92,3242.59,1700.9,7383.23,7905.56,442.17,2211.06,25.87
5,Jan,2010,2768.35,6385.96,818.17,295.86,1334.57,501.33,5821.21,922.7,5978.34,356.37,1044.18,353.52,459.52,990.15,261.85,923.75,3250.45,1292.43,161.45,282.93,868.85,93.15,974.85,7661.26,6319.86,6819.61,4993.21,45,2606.83,1249.43,709.2,3693.6,8056.13,750.21,873.37,1495.21,7517.47,4671.15,1402.43,8426.52,252.97,4404.88,629.45,2714.21,486.01,137.61,1530.31,7814.77,2149.88,8381.42,326.61,475.97,6068.73,147.74,1229.08,852.87,745.97,7339.36,8682.62,1247.2,8128.52,1313.91,514.57,7610.62,5930.45,771.01,2375.42,4678.95,4401.04,305.7,8152.05,3732.06,7149.97,2130.93,8838.74,8750.92,332.76,330.14,50.62,4041.86,7390.7,42.05,5324.39,3504.16,2391.33,901.52,1025.12,472.69,829.29,7091.24,140.94,4301.44,377.41,3159.26,1696,7467.6,7812.41,442.52,2182.39,25.78
6,Jan,2010,2772.29,6363.39,814.66,297.1,1328.61,503.09,5917.15,918.49,6012.85,359.76,1034.21,357.4,462.35,997.4,263.99,923.64,3277.9,1289.08,158.72,283.68,869.34,94.03,975.51,7571.2,6300.76,6881.32,5016.71,44.42,2601.09,1239.32,722.09,3662.55,8072.06,760.4,876.61,1476.53,7525.95,4586.7,1385.62,8472.98,255.45,4378.98,634.1,2680.32,487.73,138.44,1526,7745.22,2170.02,8376.05,323.19,473.03,6122.32,147.08,1221.29,845.98,743,7410.98,8849.75,1255.44,8101.87,1308.69,518.54,7624.62,5981.39,777.84,2370.3,4690.89,4394.31,305.01,8178.41,3696.85,7066.93,2148.8,8749.66,8703.27,337.99,329.42,49.98,4000.22,7424.23,42.37,5391.95,3479.65,2405.09,894.92,1009.73,473.33,829.43,7138.49,142.3,4324.17,380,3127.62,1697.05,7402.13,7766.85,432.99,2171.38,25.83
7,Jan,2010,2805.82,6257.91,812.9,293.91,1325.46,496.79,6002.63,919.9,6052.37,360.24,1037.9,359.16,461.47,996.66,262.23,918.68,3280.81,1305.6,158.18,282.81,856.34,94.54,967.13,7471.23,6302.76,6877.05,5069.01,44.15,2608.96,1231.83,723.6,3651.48,8059.48,761.23,878.87,1470.53,7545.6,4579.19,1378.79,8453.68,255.41,4413.5,635.69,2666.1,484.91,139.64,1512.53,7635.06,2177.62,8468.41,324.92,469.2,6108.67,147.29,1236.22,846.39,748.46,7486.25,8982.21,1264.77,8108.94,1328.77,519.14,7653.29,5989.21,784.31,2335.92,4701.51,4386.8,306.84,8218.54,3687.54,7056.68,2127.62,8774.45,8722.39,343.17,328.18,49.82,3989.03,7429.61,42.5,5392.93,3493.02,2402.08,883.91,994.93,472.41,832.33,7064.17,142.02,4322.99,378.14,3121.56,1702.25,7412.67,7783.75,431.79,2153.61,26
8,Jan,2010,2771.37,6227.45,806.37,293.26,1316.83,496.35,6027.64,922.96,6062.33,358.93,1044.27,363.63,467.13,1015.3,263.47,924.59,3324.06,1300.56,156.83,286.31,848.58,94.09,964.92,7479.97,6383.9,6841.93,5117.99,43.77,2592.69,1232.93,726.04,3683.02,8108.97,759.99,878.49,1459.65,7500.45,4535,1370.24,8444.3,257.17,4456.84,636.39,2682.44,483.91,140.81,1513.31,7542.88,2155.95,8439.17,325.59,466.65,6176.48,148.65,1247.8,838.8,745.18,7516.76,9113.23,1267.05,8136.41,1337.24,515.77,7624.06,5938.9,785.16,2336.34,4770.91,4382.84,305.28,8262.05,3681.2,6972.46,2133.44,8714.57,8707.13,345.19,327.76,49.58,3993.85,7481.49,42.53,5387.93,3497.06,2406.13,880.77,990.87,475.69,838.33,7029.72,142.93,4315.21,378.04,3077.51,1705.89,7422.71,7811.18,430.63,2131.25,26.21
9,Jan,2010,2818.68,6170.89,812.71,290.85,1310.13,498.1,6068.06,913.54,6076.32,358.09,1026.76,359.88,471.88,1026.13,264.85,927.19,3285.05,1276.99,154.26,281.8,821.43,98.13,954.56,7501.34,6387.9,6835.16,5105.55,43.97,2581.31,1233.55,718.57,3676.8,8233.51,753.32,883.33,1437.96,7404.72,4428.45,1363.84,8487.47,259.24,4366.09,622.56,2686.53,487.95,140.83,1468.89,7496.31,2149.81,8595.77,320.94,474.57,6084.24,148.83,1256.42,846.13,743.77,7488.3,9167.78,1261.66,7859.71,1360.92,517.88,7693.06,6019.62,803.79,2368.01,4801.98,4426.08,304.4,8206.6,3681.01,7078.49,2164.56,8758.11,8793.04,341.35,331.06,50.04,3914.63,7486.8,42.24,5360.36,3475.19,2436.54,880.31,986.67,474.84,834.2,6967.08,143.18,4376.07,378.38,3190.52,1693.13,7284.79,7807.83,430.87,2087.29,25.91
